id,Unnamed: 0,genres,backdrop_path,overview,poster_path,release_date,runtime,title,vote_average,youtube_link,actors,director
109843,14972,"['Crime', 'Drama']",/nWJPW8Z2fZr9vmBzqlLh2o5vOac.jpg,"Ensemble film revolving around characters living in Forest Gate, London. Over the course of a few days, six inter-linking stories explore issues of drug use, prostitution and urban poverty.",/qhN0X6sDUalPxoNRfuUIBR6QmSO.jpg,2012-06-06,121,Ill Manors,6,https://www.youtube.com/watch?v=1hfxWjUcbzs,"['Riz Ahmed', 'Ed Skrein', 'Natalie Press', 'Anouska Mond', 'Mehmet Ferda', 'Dannielle Brent', 'Martin Serene', 'Nick Sagar', 'Jo Hartley', 'Neil Large']",['Ben Drew']
133931,15882,"['Comedy', 'Animation', 'Adventure', 'Family']",/34Xi4ZYsmRgO4JEpDzSMrHF5JEY.jpg,"Set in a bustling bird city on the edge of the majestic Victoria Falls, ""Zambezia"" is the story of Kai - a naïve, but high-spirited young falcon who travels to the bird city of ""Zambezia"" where he discovers the truth about his origins and, in defending the city, learns how to be part of a community.",/7aJl440TlbyqthklVrvCnSbjKYe.jpg,2012-06-05,83,Zambezia,6,https://www.youtube.com/watch?v=YQOT50TzZjg,"['Samuel L. Jackson', 'Abigail Breslin', 'Leonard Nimoy', 'Jeremy Suarez', 'Jeff Goldblum', 'Jenifer Lewis', 'Noureen DeWulf', 'Richard E. Grant', 'Jamal Mixon', 'David Shaughnessy']",['Wayne Thornley']
103747,14785,"['Drama', 'Comedy']",/rzrfjc7ZMmbKoPeiHJAwnMKY6Ig.jpg,"Narrowly avoiding jail, new dad Robbie vows to turn over a new leaf. A visit to a whisky distillery inspires him and his mates to seek a way out of their hopeless lives.",/lzvccQsLYx317x9G0LtPTSjEsT1.jpg,2012-06-01,101,The Angels' Share,7,https://www.youtube.com/watch?v=NcQIvmR21VU,"['Paul Brannigan', 'Siobhan Reilly', 'John Henshaw', 'Gary Maitland', 'William Ruane', 'Jasmin Riggins', 'Scott Dymond', 'Scott Kyle', 'Neil Leiper', 'James Casey']",['Ken Loach']
149023,16775,"['Family', 'Drama']",/7ooQTiBE4DESGSArhkQs77cB5zP.jpg,"In a town not so far away and a time not so long ago, baby Rose was left on the porch of Greenwoods Orphanage, where Mrs. Hartley and the children under her tender care become her family. But when tragedy strikes, Rose loses the only home she has ever known and she is abruptly shipped to Irongates—a place that seems as cold and cruel as her previous home was kind. Strict headmaster Mr. Crampton immediately seems to dislike Rose and makes sure she and the other children are punished for any minor infraction of his rules. Rose soon makes friends with Emily, but in spite of her gentle and forgiving nature, some of the children will take any chance they can to get her into trouble. When she learns that every Christmas Mr. Crampton’s generous brother gives an orange to each child, Rose waits in eager anticipation.",/rvjtIyPABUZ72znleY52zDCuPvN.jpg,2012-06-01,100,Christmas Oranges,7,https://www.youtube.com/watch?v=NWgTc5-azNY,"['Edward Herrmann', 'Nancy Stafford', 'Bailee Michelle Johnson', 'Savanna Kylie Lewis', 'Bruce Newbold', 'Yolanda Wood', 'Ethan Hunt', 'Sydney Peebler', 'Ethan Lyde', 'Elizabeth Hales']",['John Lyde']
102632,14731,"['Action', 'Comedy', 'Crime']",/eLInBavBIK0ssluoZYLvaNm9fXl.jpg,"A small-time thug comes across a young girl who claims him to be her father, following which he realizes he has a lookalike who's being hunted by goons.",/ytdp64MDSpONpm932nQcMTD95IF.jpg,2012-06-01,143,Rowdy Rathore,5,https://www.youtube.com/watch?v=gCAcU3p9GNo,"['Akshay Kumar', 'Sonakshi Sinha', 'Nassar', 'Darshan Jariwala', 'Supreet', 'Gurdeep Kohli', 'Yashpal Sharma', 'Jayant Gadekar', 'Paresh Ganatra', 'Anant Jog']",['Prabhu Deva']
112161,15058,"['Comedy', 'Romance']",/1UrRBEX33muYS6gw7yXoqhVN1G1.jpg,A womanizer teaches his clueless friend the rules about being single and avoiding emotional attachment.,/zl9Qfi5xwbWDg4yKuT0ViBzGeP1.jpg,2012-06-01,95,6 Month Rule,6,https://www.youtube.com/watch?v=Kkj5ifl7W9k,"['Blayne Weaver', 'Martin Starr', 'Natalie Morales', 'Patrick J. Adams', 'Vanessa Branch', 'John Michael Higgins', 'Dave Foley', 'Jaime Pressly', 'Brandon Barrera', 'Kristina Klebe']",['Blayne Weaver']
107257,14890,"['Drama', 'Romance']",/j5VsuNhAHMkUZL3C48funI2MbSk.jpg,"This intimate drama follows Rebecca, a woman who has kept her sexuality a secret from her friends but chooses to reveal it to a stranger. While Rebecca's revelations may not yield the results she expects, a perfect ending is still in reach.",/3gjNfor0AZMdvmSJDqDoNOhyM5F.jpg,2012-06-01,110,A Perfect Ending,6,https://www.youtube.com/watch?v=ZAwUK0MyOVM,"['Barbara Niven', 'Jessica Clark', 'John Heard', 'Morgan Fairchild', 'Rebecca Staab', 'Kerry Knuppe', 'Imelda Corcoran', 'Mary Jane Wells', 'Michael Adam Hamilton', 'Bryan Mordechai Jackson']",['Nicole Conn']
133764,15872,"['Romance', 'Science Fiction', 'Thriller']",/eRZOgO9m7UVOCZx9tLal0bSlck5.jpg,Lucas is a scientist who works near the European experimental project that focus on advanced ‘human neuron research’. The project is to transfer neuron information from one human mind to another. Lukas is chosen to connect his mind with a comatose woman he named Aurora.,/2FDPjmAhKcVj0lLZRFjMRjQXV1D.jpg,2012-06-01,120,Vanishing Waves,5,https://www.youtube.com/watch?v=wQPFQuo_Nxs,"['Jurga Jutaitė', 'Marius Jampolskis', 'Brice Fournier', 'Vytautas Kaniušonis', 'Arnoldas Eisimantas', 'Rasmante Burzaite', 'Philip Lenkowsky', 'Maciej Marczewski', 'Nicolas Simon', 'Gabija Jaraminaitė Ryškuvienė']",['Kristina Buožytė']
106238,14862,"['Thriller', 'Drama', 'Horror']",/zTNmbtmzp9pk26hSOBKvUBZFN6R.jpg,"Something is missing in Tom's life. His marriage has lost its spark, his job is suffocating him, and his childhood best friend Dan still clings to the past. Every day he goes through the motions, becoming increasingly detached from those around him. Dan has the solution... something Tom's got to see to believe... tonight. What Dan shows him leaves Tom unsettled, flooding his mind with disturbing images, and binding the two friends together with its ugly secret.",/7ceukAEyw20vPilOICucsMCiKgB.jpg,2012-06-01,91,Gut,3,https://www.youtube.com/watch?v=wFKYIGZX6no,"['Jason Vail', 'Nicholas Wilder', 'Sarah Schoofs', 'Kirstianna Mueller']",['Elias']
146195,16629,"['Romance', 'Horror']",/kJ6AVVDE8GaHsabuKhkdF19GMcM.jpg,Bee is falling in love with her senior surgeon co-worker. But his girlfriend who recently died in an accident isn't quite ready to give him up yet.,/5DnV3BUZvogTsEbybXS3MBOdDGg.jpg,2012-05-31,118,I Miss U,6,https://www.youtube.com/watch?v=DA_EYdx6jqY,"['Jesdaporn Pholdee', 'Natthaweeranuch Thongmee', 'Apinya Sakuljaroensuk', 'Intira Jaroenpura']",['Monthon Arayangkoon']
130593,15702,"['Music', 'Drama']",/60wNRpjEIcHvobf4LgwTrw9UXPs.jpg,"The story of music legend Terri Hooley, a key figure in Belfast's punk rock scene. Hooley founded the Good Vibrations store from which a record label sprung, representing bands such as The Undertones, Rudi and The Outcasts.",/s3C0o05CE1zumEB6XTwLI5yLSA0.jpg,2012-05-31,97,Good Vibrations,6,https://www.youtube.com/watch?v=3YwVKmCvOUc,"['Richard Dormer', 'Jodie Whittaker', 'Karl Johnson', 'Michael Colgan', 'Liam Cunningham', 'Dylan Moran', 'Ruth McCabe', 'Mark Ryder', 'Killian Scott', 'Kerr Logan']","[""Lisa Barros D'Sa"", 'Glenn Leyburn']"
126277,15530,"['Horror', 'Thriller']",/771FoJfKCt9btCxXcByvLOxBskN.jpg,A young medical student struggling to pay tuition is drawn into the shady world of underground body-modification.,/oHwyNKHm41Y6WPRCHL0zOzytGvL.jpg,2012-05-31,102,American Mary,6,https://www.youtube.com/watch?v=0zua8vbLLqU,"['Katharine Isabelle', 'Julia Maxwell', 'Antonio Cupo', 'Tristan Risk', 'Paula Lindberg', 'Paul Anthony', 'Clay St. Thomas', 'John Emmet Tracy', 'Twan Holliday', 'Nelson Wong']","['Jen Soska', 'Sylvia Soska']"
58595,11729,"['Adventure', 'Fantasy', 'Drama']",/KBe9fHU5rVg4daoKnFwl1Cbc28.jpg,"After the Evil Queen marries the King, she performs a violent coup in which the King is murdered and his daughter, Snow White, is taken captive. Almost a decade later, a grown Snow White is still in the clutches of the Queen. In order to obtain immortality, The Evil Queen needs the heart of Snow White. After Snow escapes the castle, the Queen sends the Huntsman to find her in the Dark Forest.",/8HUa5kRubYbnAD5UVpnhTGGgMTW.jpg,2012-05-30,127,Snow White and the Huntsman,6,https://www.youtube.com/watch?v=8wYvpsph8bs,"['Kristen Stewart', 'Chris Hemsworth', 'Charlize Theron', 'Sam Claflin', 'Ian McShane', 'Ray Winstone', 'Nick Frost', 'Noah Huntley', 'Toby Jones', 'Eddie Marsan']",['Rupert Sanders']
121210,15353,['Drama'],/yvxJdoYSVIYDNMgPyDVGDmqMnTr.jpg,"Young and full of life, Murielle has a promising future ahead of her when she meets and falls head over heels for Mounir. A wedding soon follows, and the happy couple quickly set about preparing to make a family. However, with family come ties, and none come as tight as that between Mounir and his adoptive father. As Murielle continues to bring new life into the family, frictions between Mounir and Doctor Pinget reach boiling point. Helpless to extract her husband and children from the wealthy nest that Doctor Pinget has provided for them, Murielle is drawn into an unhealthy family dynamic. There is only one way out of this nightmare, and for Murielle all sense of reasoning begins to abandon her.",/vzIyf1V3Jjc3u5SWzTqLJr0yTKL.jpg,2012-05-30,111,Our Children,6,https://www.youtube.com/watch?v=vukNkMtApJ0,"['Tahar Rahim', 'Niels Arestrup', 'Émilie Dequenne', 'Stéphane Bissot', 'Mounia Raoui', 'Claire Bodson', 'Jean-Charles Hautera', 'Daniel Feis', 'Baya Belal', 'Redouane Behache']",['Joachim Lafosse']
70981,11924,"['Science Fiction', 'Adventure', 'Mystery']",/hO97RyNjBIMfzfFpUjNhsm4zImh.jpg,"A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race.",/m7nZCtHJyDLncBUarfM5h5mrppx.jpg,2012-05-30,124,Prometheus,6,https://www.youtube.com/watch?v=s_UROacPwPY,"['Noomi Rapace', 'Michael Fassbender', 'Charlize Theron', 'Logan Marshall-Green', 'Guy Pearce', 'Idris Elba', 'Sean Harris', 'Rafe Spall', 'Kate Dickie', 'Emun Elliott']",['Ridley Scott']
109500,14965,"['Action', 'Western']",/xXKkA9VwyaHK1N5SafWgsyF6WvR.jpg,"A gripping story of vengeance and passion set in the American West. When the father of gunslinger John Mason (Slater) is shot to death by masked bandits, Mason sets out with guns blazing to track down those who killed him. During his quest, he finds himself involved in a grim love triangle when he falls for Alice, the determined and beautiful woman also adored by John’s best friend. Based on the timeless John Wayne adventure, Dawn Rider is a riveting saga of retribution, duty and valor in the American West.",/uXc15iWmXoMf6bYIJfivljkjphq.jpg,2012-05-29,94,Dawn Rider,5,https://www.youtube.com/watch?v=pwECUslRwYY,"['Donald Sutherland', 'Christian Slater', 'Jill Hennessy', 'Lochlyn Munro', 'Adrian Hough', 'G. Michael Gray', 'George Canyon', 'Claude Duhamel']",['Terry Miles']
110490,15005,"['TV Movie', 'Comedy', 'Drama', 'Music']",/6VMiDmy5gVmge1ZVny3P6rYiZo9.jpg,"Rags follows the story of Charlie Prince, an orphan living with his acerbic and unloving stepfather and spoiled, simple-minded stepbrothers. Charlie's dream is to be a singer, and while he is vocally talented and can write music, he can't seem to catch a break. Kadee Worth, on the other hand, is the daughter of music mogul Reginald Worth and is an international pop phenomenon. While the world knows her as a glamorous superstar, she is secretly frustrated with singing other people's songs and wearing clothes other people choose for her. Kadee wants the world to hear and see her true talent. Despite every obstacle that gets thrown in their way, once Charlie and Kadee find one another, they each finally get what they have been looking for – a voice, a stage, an audience and each other.",/5CfrXWMeGcMlisL1YRCgpFMWiER.jpg,2012-05-28,88,Rags,7,https://www.youtube.com/watch?v=UlPvT8ywd7I,"['Keke Palmer', 'Max Schneider', 'Isaiah Mustafa', 'Avan Jogia', 'Drake Bell', 'Burkely Duffield', 'Robert Moloney', 'Keenan Tracey', 'Devon Weigel', 'Christina Sicoli']",['Bille Woodruff']
111440,15036,"['Horror', 'Mystery', 'Thriller']",/uBCVsnoBLBNSeCvhfcApsNzqQx1.jpg,"After their mother passes away, sisters Nicole and Annie reluctantly return to their childhood home to pay their last respects. While staying overnight in the house, the sisters sense a mysterious presence in their midst: noises startling them in the night, objects moving about, a fallen picture of an unknown woman posed next to their mother. Annie begins experiencing a series of intense and disturbing dreams - visions that lead her to uncover something terrible about her mother's past that is finally revealing itself.",/o0a4iSc5yKEiV15NCTI5GwrZudc.jpg,2012-05-25,89,The Pact,5,https://www.youtube.com/watch?v=6WtfJSq6Z6E,"['Caity Lotz', 'Casper Van Dien', 'Agnes Bruckner', 'Haley Hudson', 'Dakota Bright', 'Samuel Ball', 'Mark Steger', 'Kathleen Rose Perkins']",['Nicholas McCarthy']
90369,14495,"['Drama', 'Romance']",/ra9surFrWYvIL0pWcm3MrxmPhTg.jpg,A girl dying of leukemia compiles a list of things she'd like to do before passing away. Topping the list is her desire to lose her virginity.,/oOBHF6qWtMkzwpnrLDTKJPAb3zH.jpg,2012-05-25,103,Now Is Good,7,https://www.youtube.com/watch?v=gOP3Uicg04U,"['Dakota Fanning', 'Jeremy Irvine', 'Kaya Scodelario', 'Olivia Williams', 'Paddy Considine', 'Edgar Canham', 'Joe Cole', 'Rose Leslie', 'Franz Drameh', 'Julia Ford']",['Ol Parker']
120771,15337,"['Comedy', 'Horror']",/mhYpcwafQ1X1xVClRjZnGceJj6N.jpg,"In 1977 a group of young, horny, out of control Christians are spending a fun filled weekend at the mountain lakeside Happy Day Bible Camp. One by one these youthful sinners pay a BLOODY penance for their misdeeds. Flash forward 7 years, when another youth group of Bible toters return, lead by ""Father Richard Cummings"" (Reggie Bannister), ""Sister Mary Chopper,"" (Tim Sullivan) goes bloody murder after the camp - emphasis on CAMP - with stand out performances by folks like Gigi Bannister, Jessica Sonneborn, Troy Guthrie, Deborah Venegas, Jay Fields, and Jeff Dylan Graham. In the end, Bannister and Troup must face down the a transvestite serial killing nun in a fight to the death, and call upon the higher graces of the infamous Ron Jeremy as ""Jesus"" guide them through! A hilarious campy equal opportunity offensive film that will have you DIE laughing!",/9LuyA7BO2YLSkox7dBs8DVYkdUH.jpg,2012-05-25,90,Bloody Bloody Bible Camp,4,https://www.youtube.com/watch?v=jZuOR8GIq0Q,"['Peter Wafer', 'Reggie Bannister', 'Ron Jeremy', 'Ivet Corvea', 'Jessica Sonneborn', 'Elissa Dowling', 'Julianne Tura', 'David C. Hayes', 'Matthew Aidan', 'Deborah Venegas']",['Vito Trabucco']
49014,10054,['Drama'],/8Hztp05inY15obLOWpmveWOBKFy.jpg,"Riding across Manhattan in a stretch limo during a riot in order to get a haircut, a 28-year-old billionaire asset manager's life begins to crumble.",/94m7J9YeO0W7IEbfsOtFbweGgcu.jpg,2012-05-25,109,Cosmopolis,5,https://www.youtube.com/watch?v=q3ZmIwteUAY,"['Robert Pattinson', 'Juliette Binoche', 'Paul Giamatti', 'Sarah Gadon', 'Samantha Morton', 'Jay Baruchel', 'Kevin Durand', 'Patricia McKenzie', 'Emily Hampshire', 'George Touliatos']",['David Cronenberg']
141929,16423,['Action'],/8boxaEteFZNT1D92lD09cZt0kLf.jpg,"‘Hero’ brings to life the story of Tarzan Antony, a young man from a lower middle class family who becomes a stuntman for films. Antony’s father Thankachan worked as a driver among the film crowd in Chennai for some time and whenever the father came home, Antony used to listen to his father’s tales about the film world with rapt attention.",/hNjkptRr1FQrxTkDiUrXQ2NKQHh.jpg,2012-05-25,162,Hero,3,https://www.youtube.com/watch?v=AMJQkKL1cgM,"['Prithviraj Sukumaran', 'Srikanth', 'Yami Gautam', 'Anoop Menon', 'Thalaivasal Vijay', 'Nedumudi Venu', 'Bala', 'Tini Tom', 'Anil Murali', 'Kottayam Nazeer']",['Diphan']
117369,15236,"['Action', 'Animation']",/bldgj2IeKr7poONE7h2wHhomPBA.jpg,"Legend knows him as an archer of unwavering focus, the soldier who fought a battle in his own heart before taking up arms against his enemy. This is the untold story of Arjun, hero of the Mahabharata. A precocious talent plunged from boyhood and innocence into a murky world of deceit and betrayal, coming of age to become the most powerful warrior of his time. From the dusty plains of Hastinapur to the icy peaks of the Himalayas, Arjun: The Warrior Prince is the story of a man discovering what it takes to be a hero.",/bbyNAeBppsHUE0ki5BgikCdb6s.jpg,2012-05-24,96,Arjun: The Warrior Prince,5,https://www.youtube.com/watch?v=fPZ-VRD6IMs,"['Yuddvir Bakolia', 'Ila Arun', 'Aanjjan Srivastav', 'Sachin Khedekar', 'Vishnu Sharma', 'Ashok Banthia', 'Ravi Khanvilkar']",['Arnab Chaudhuri']
93856,14621,"['Horror', 'Thriller']",/1BgWRWjZtD6zyJfzlfDx3NHaECQ.jpg,"A group of six tourists looking to go off the beaten path, hire an 'extreme tour guide' who, ignoring warnings, takes them into the city of Pripyat, the former home to the workers of the Chernobyl nuclear reactor, but now a deserted town since the disaster more than 25 years earlier. After a brief exploration of the abandoned city, the group members find themselves stranded, only to discover that they are not alone.",/tGYMaxD7tQtHbDpy03WkamHh0Rd.jpg,2012-05-24,88,Chernobyl Diaries,5,https://www.youtube.com/watch?v=Uy1ay369Jiw,"['Jesse McCartney', 'Devin Kelley', 'Jonathan Sadowski', 'Olivia Taylor Dudley', 'Ingrid Bolsø Berdal', 'Nathan Phillips', 'Alex Feldman', 'Milutin Milošević', 'Kristof Konrad', 'Pasha D. Lychnikoff']",['Bradley Parker']
133991,15888,"['Mystery', 'Drama']",/7fJRcut8QGnKmYy653ed6dm0M96.jpg,"Soon-kyu, caught sight of a UFO. To find the UFO, they leave for a so-called ""UFO mountain."" 3 days later, they come back and insist they""ve contacted aliens the last night except Soon-kyu who #999999ed out due to overdrinking. After hearing that Ji-hyun""s missing, Soon-kyu leaves for the mountain again to answer his own question - the UFO, aliens and Ji-hyun.",/fYXsdK5j1pKUpO0yF43tEmdvO67.jpg,2012-05-24,91,U.F.O.,5,https://www.youtube.com/watch?v=RTrV9Qqxz5c,"['Lee Ju-seung', 'Jung Young-ki', 'Kim Chang-hwan', 'Ji Sang-hyuk']",['Kong Quee-hyun']
152875,16951,"['Drama', 'Action', 'Comedy', 'Fantasy']",/cCwZn5xRij6JEUbpudsGcYbEPmT.jpg,"In Yamalokam retirement age comes from Senior Yama and he gives charge to his Son. However experienced Chitragupta is retained much to his disappointment. He decides to teach a lesson to new Yama and plans to get a person from Bhulokam who can create chaos in Yamalokam. That person turns out to be Bullet Raja a mass character. He falls in love with Taapsee. Though he is yet to complete his lifespan,Chitragupta plays a game and Bullet Raja gets killed only to come to hell. Here he discovers the plot and demands to get back to earth. Since his body has perished, Yama and Chitragupta send him inside the home ministers body. What happens from there and how things change forms rest of the story.",/ielHCeC8tFSx4fgy0yKJyrt3RBE.jpg,2012-05-24,161,Daruvu,4,https://www.youtube.com/watch?v=3mStmzBxNn0,"['Ravi Teja', 'Taapsee Pannu', 'Sayaji Shinde', 'Prabhu', 'Kaikala Satyanarayana', 'M. S. Narayana', 'Jayasudha', 'John Kokken']",['Siva']
