id,genres,backdrop_path,overview,poster_path,release_date,runtime,title,vote_average,youtube_link,actors,director
10779,"['Horror', 'Comedy']",/naGsxof4OVpWQJn1qd9sTwUvYPI.jpg,"Once an architect, Frank Bannister now passes himself off as an exorcist of evil spirits. To bolster his facade, he claims his ""special"" gift is the result of a car accident that killed his wife. But what he does not count on is more people dying in the small town where he lives. As he tries to piece together the supernatural mystery of these killings, he falls in love with the wife of one of the victims and deals with a crazy FBI agent.",/y35gx5ElAWa9Jhq6O0QrmbiS3lz.jpg,1996-07-18,110,The Frighteners,6,https://www.youtube.com/watch?v=zmQxM32PWRM,"['Michael J. Fox', 'Jeffrey Combs', 'Jake Busey', 'Chi McBride', 'Trini Alvarado', 'Peter Dobson', 'John Astin', 'Jim Fyfe', 'Troy Evans', 'Julianna McCarthy']",['Peter Jackson']
10781,"['Horror', 'Thriller']",/lTGOQk29RDqsNzD2v25dB0Rm9Jn.jpg,"Chrissie and her friends set out on a road trip for a final fling before one is shipped off to Vietnam. Along the way, bikers harass the foursome and cause an accident that throws Chrissie from the vehicle. The lawman who arrives on the scene kills one of the bikers and brings Chrissie's friends to the Hewitt homestead, where young Leatherface is learning the tools of terror.",/hTBueN0Ru3R7brwtONenDyEMNYe.jpg,2006-10-06,91,The Texas Chainsaw Massacre: The Beginning,6,https://www.youtube.com/watch?v=2OKXd2j6Fmo,"['Jordana Brewster', 'Taylor Handley', 'Diora Baird', 'Matt Bomer', 'R. Lee Ermey', 'Lew Temple', 'Andrew Bryniarski', 'Tim DeZarn', 'Lee Tergesen', 'Cyia Batten']",['Jonathan Liebesman']
10782,"['Action', 'Drama', 'Mystery', 'Thriller', 'Crime']",/yJtLib6f8a61mO3u59JRmjQ7IOg.jpg,A DEA agent investigates the disappearance of a legendary Army ranger drill sergeant and several of his cadets during a training exercise gone severely awry.,/uXgx1wQgH7KhqK2Y4ZeicPd9PaN.jpg,2003-04-18,98,Basic,6,https://www.youtube.com/watch?v=kE7Ue5hjJc0,"['John Travolta', 'Connie Nielsen', 'Samuel L. Jackson', 'Giovanni Ribisi', 'Brian Van Holt', 'Dash Mihok', 'Taye Diggs', 'Roselyn Sánchez', 'Tim Daly', 'Cristián de la Fuente']",['John McTiernan']
10783,"['Comedy', 'Crime']",/vj5Xmk9QvIJ5EICVVWq0TTGaz7A.jpg,"Russ Richards is a TV weatherman and local celebrity on the verge of losing his shirt. Desperate to escape financial ruin, he schemes with Crystal the TV station's lotto ball girl to rig the state lottery drawing. The numbers come up right, but everything else goes wrong as the plan starts to unravel and the game turns rough.",/Ak6R7cu4LAjEHf7L2p8iDBzPinV.jpg,2000-10-27,105,Lucky Numbers,5,https://www.youtube.com/watch?v=dFFdGYuHATI,"['John Travolta', 'Lisa Kudrow', 'Tim Roth', ""Ed O'Neill"", 'Michael Rapaport', 'Daryl Mitchell', 'Bill Pullman', 'Richard Schiff', 'Sam McMurray', 'Michael Weston']",['Nora Ephron']
10788,"['Comedy', 'Drama', 'Romance']",/uqjmYdMfEXIwKoqmUu89gdFbUYC.jpg,Kambakkht Ishq is about a stuntman and a supermodel that don't believe in love but through a hilarious series of events they fall for each other.,/yiOoPDxP0r5bb3YGBtHI5rBp1xS.jpg,2009-07-03,142,Kambakkht Ishq,3,https://www.youtube.com/watch?v=iLHUFxlAVNM,"['Akshay Kumar', 'Kareena Kapoor Khan', 'Sylvester Stallone', 'Whoopi Goldberg', 'Denise Richards', 'Aftab Shivdasani', 'Amrita Arora', 'Brandon Routh', 'Holly Valance', 'Boman Irani']",['Sabbir Khan']
10790,"['Horror', 'Thriller']",/plsdKhrNZ4vIN1qZJ8ccihiMZI7.jpg,"Marie, a film producer, returns to her native Russia to find her birth parents. She quickly learns they are dead, and she has inherited their long-empty farmhouse. At the farm, she meets Nicolai, who claims to be her twin brother. Events take a terrifying turn when the two spot a pair of ghastly doppelgangers and the house itself seems to propel them toward a fate they should have met 40 years earlier.",/32DhJlTTmLeaPNQeh2oHuDNRmqF.jpg,2006-09-11,99,The Abandoned,5,https://www.youtube.com/watch?v=VHXpeVGJg0Q,"['Anastasia Hille', 'Karel Roden', 'Valentin Ganev', 'Paraskeva Djukelova', 'Carlos Reig-Plaza', 'Marta Yaneva', 'Jasmina Marinova', 'Svetlana Smoleva', 'Anna Panayotova', 'Monica Baunova']",['Nacho Cerdà']
10795,"['Drama', 'Thriller', 'Crime', 'Mystery']",/lpUhZCKmxtIE9EEvUsgJRW22xtk.jpg,"A man receives a mysterious e-mail appearing to be from his wife, who was murdered years earlier. As he frantically tries to find out whether she's alive, he finds himself being implicated in her death.",/fr2wEeO1H8dzx6EDfzYTRBIvZaE.jpg,2006-11-01,131,Tell No One,7,https://www.youtube.com/watch?v=ryMVzQsTmZY,"['François Cluzet', 'Marie-Josée Croze', 'Kristin Scott Thomas', 'François Berléand', 'André Dussollier', 'Marina Hands', 'Jean Rochefort', 'Guillaume Canet', 'Olivier Marchal', 'Florence Thomassin']",['Guillaume Canet']
10796,"['Action', 'Science Fiction', 'Thriller']",/2JApfvtgf2snKUtOFn8d1wm5pDU.jpg,A sheriff's deputy fights an alternate universe version of himself who grows stronger with each alternate self he kills.,/gcr3t71KmeXINemMrhaGBGVJPwW.jpg,2001-11-02,87,The One,6,https://www.youtube.com/watch?v=m4CArdIJgE4,"['Jet Li', 'Jason Statham', 'Carla Gugino', 'Delroy Lindo', 'James Morrison', 'Dylan Bruno', 'Tucker Smallwood', 'Harriet Sansom Harris', 'Dean Norris', 'Ashlyn Gere']",['James Wong']
10797,"['Animation', 'Comedy', 'Music']",/ecaqZKc405rnnS6bmW6NtP7Hc8q.jpg,"6th-grader Terkel begins experiencing a streak of bad luck after sitting on a black spider. His teacher dies and is replaced by the strange Justin. At home, Terkel's Uncle Stewart erupts in sporadic fits of rage, and at school Terkel is bullied by two boys after they learn that fat Doris likes him. On a school camping trip, Terkel begins receiving death threats and must figure out who wants to kill him.",/mBX8r1JbsIPtcY0s18ijU1L8vcw.jpg,2004-04-02,77,Terkel in Trouble,6,https://www.youtube.com/watch?v=459ajX4zn_E,"['Anders Matthesen', 'Kim Matthesen']","['Stefan Fjeldmark', 'Kresten Vestbjerg Andersen', 'Thorbjørn Christoffersen']"
10798,"['Action', 'Adventure']",/9XGU37CXAa68sPH3bqYkH16Rp4A.jpg,"Les Chevaliers du ciel (English: Sky Fighters) is a 2005 French film directed by Gérard Pirès about two air force pilots preventing a terrorist attack on the Bastille Day celebrations in Paris. It is based on Tanguy et Laverdure, a comics series by Jean-Michel Charlier and Albert Uderzo – of Astérix fame, which was also made into a hugely successful TV series from 1967 to 1969 making Tanguy and Laverdure, the two main heroes, part of popular Francophone culture.",/fXyIF7W059RtNwSZViVUR9bUXWX.jpg,2005-10-15,102,Sky Fighters,6,https://www.youtube.com/watch?v=HEe3xfWfkG8,"['Benoît Magimel', 'Clovis Cornillac', 'Géraldine Pailhas', 'Alice Taglioni', 'Jean-Baptiste Puech', 'Christophe Reymond', 'Philippe Torreton', 'Peter Hudson', 'Fiona Curzon', 'Jean-Michel Tinivelli']",['Gérard Pirès']
